# id	file_path			R	G	B
[TEXTURES]
0	Resources\Textures\Mario.png	255	255	255
1	Resources\Textures\Item\misc.png	176	224	248
2	Resources\Textures\Enemy\enemy.png	255	255	255
3	Resources\Textures\Title\title-screen.png	255	242	0
4	Resources\Textures\Title\title.png	255	255	255
-200	Resources\Textures\darken-the-screen.png	255	255	0
# id	left	top	width	height	texture_id
[SPRITES]
#----------BACKGROUND-----------------
# FLY
10066	441	143	24	27	0
10067	468	143	24	27	0
10068	495	142	24	28	0
# SPIN
10169	80	109	23	28	0
10069	174	142	16	28	0
10070	193	142	23	28	0
10071	219	142	16	28	0
# CROUCH
10072	522	142	22	28	0
# SLIDE
10073	547	143	16	27	0
# HOLD
10074	566	142	21	28	0
10075	590	142	22	28	0
10076	615	143	23	27	0
# KICK
10077	641	142	22	28	0
# DIVE
10078	666	142	24	28	0
10079	693	143	24	27	0
# SWIM
10080	720	142	24	28	0
10081	747	142	23	28	0
10082	773	143	24	27	0
# CLIMB
10083	800	142	16	28	0
10084	819	142	16	28	0
# ROLL
10085	319	342	22	20	0
10086	344	342	21	20	0
10087	368	340	20	22	0
10088	391	341	20	21	0
10089	414	342	22	20	0
10090	439	342	21	20	0
10091	462	340	20	22	0
10092	485	341	20	21	0

# FIRE MARIO
# chua co ten
10093	124	115	16	21	0
10094	143	115	16	21	0
# IDLE FRONT
10095	458	109	16	27	0
# IDLE
10096	206	109	14	27	0
# WALK
10097	206	109	14	27	0
10098	223	109	16	27	0
10099	242	110	16	26	0
# SKID
10100	261	108	16	28	0
# THROW
10101	280	109	14	27	0
10102	297	109	14	27	0
# RUN
10103	333	109	19	27	0
10104	355	109	19	27	0
10105	378	110	19	26	0
# JUMP
10106	314	110	16	26	0
# HIGH JUMP
10107	400	110	19	26	0
# CROUCH
10108	422	108	14	28	0
# SLIDE
10109	439	110	16	26	0
# HOLD
10110	477	109	14	27	0
10111	494	109	15	27	0
10112	512	110	16	26	0
# KICK
10113	531	109	21	27	0
# DIVE
10114	555	109	19	27	0
10115	577	110	19	26	0
# SWIM
10116	599	109	19	27	0
10117	621	109	18	27	0
10118	642	110	19	26	0
# CLIMB
10119	664	111	16	25	0
10120	683	111	16	25	0
#FLY SHEET
10121	642	110	19	26	0
10122	621	109	18	27	0
10123	242	110	16	26	0
#FLY BULLET
10124	599	109	19	27	0

#FIRE
60000	35	36	8	8	2
60001	50	37	8	8	2
60002	35	50	8	8	2
60003	50	50	8	8	2
#bang
40005	527	20	16	16	1
40006	546	22	12	12	1
40007	561	22	12	12	1
40008	576	23	11	10	1

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# ==== MARIO =========
#idle big
400	10023	100
#walk big
401	10024	100	10025	100	10023	100
#walk run big
411	10024	50	10025	50	10023	50
#run big
402	10027	100	10028	100	10029	100
#skid big
403	10026	100
#jump up big
404	10030	100
#jump down big
414	10025	100
#crouch big
405	10032	100
#kick big
406	10037	50	10037	50	10037	50
#idle hold big
407	10034	100
#hold big
408	10034	100	10035	100	10036	100
#idle front big
409	10021	100
#idle small
500	10002	100
#walk small
501	10003	100	10004	100
#walk run small
511	10003	50	10004	50
#run small	
502	10006	100	10007	100
#skid small
503	10005	100
#jump small	
504	10008	100
#die small
505	10010	100
#kick small
506	10014	50	10014	50	10014	50
#idle hold small
507	10012	100
#hold small
508	10012	100	10013	100
#idle front small
509	10001	100
#idle raccoon
300	10054	100
#walk raccoon
301	10055	100	10056	100	10057	100
#walk run raccoon
311	10055	50	10056	50	10057	50
#run raccoon
302	10059	100	10055	100	10056	100	10061	100
#skid raccoon
303	10058	50	10058	50	10058	50
#jump up raccoon
304	10062	100
#jump down raccoon
314	10059	100
#crouch raccoon
305	10072	100
#spin raccoon
306	10169	100	10069	100	10070	100	10071	100
#spin single 
307	10169	50	10069	50	10070	50	10071	50	10071	50
#speedup raccoon
308	10063	100	10064	100	10065	100
#kick raccoon
311	10077	50	10077	50	10077	50
#idle hold raccoon
312	10074	100
#hold raccoon
313	10074	100	10075	100	10076	100
#idle fire
200	10096	100
#walk fire
201	10097	100	10098	100	10099	100
#walk run fire
211	10097	50	10098	50	10099	50
#run fire
202	10103	100	10104	100	10105	100
#skid fire
203	10100	100
#jump up fire
204	10106	100
#jump down fire
214	10099	100
#crouch fire
205	10108	100
#kick fire
206	10113	50	10113	50	10113	50
#idle hold fire
207	10110	100
#hold fire
208	10110	100	10111	100	10112	100
#throw bullet fire
209	10101	100	10102	100
#fly bullet fire
210	10121	100	10122	100	10124	100
#idle front fire
220	10095	100
#fly raccoon
309	10066	100	10067	100	10068	100
#fly sheet raccon
310	10121	100	10122	100	10123	100
#idle front raccoon
320	10053	100

# CURTAIN
100	0	100

#TITLE
101	3000	100	3001	100	3002	100	3003	100	3002	100

# ==== FIRE =========
900	60000	100	60001	100	60002	100	60003	100
#raccoon explosive
901	40005	100	40006	100	40007	100	40008	100	40008	100


[ANIMATION_SETS]
# MARIO
1	400	401	402	500	501	502	503	403	404	504	405	300	301	302	303	304	305	306	411	511	307	308	200	201	211	202	203	204	205	309	505	314	310	414	214	506	406	311	206	507	508	407	408	312	313	207	208	209	210	509	409	320	220
#FIRE
50	900	901

# CURTAIN
2	100
# TITLE
3	101

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 43 = Speech Bubble
# MARIO
#0	2264	85	1
#0	20	365	1
#0	1350	85	1
#0	2050	365	1
0	1045	230	1
#0	1950	230	1
#Speech Bubble
43	38.5	26	3
[SCENE]
#Stage1
Resources/Scene/world_select_scene.txt	176	64
Resources/Scene/scene1.txt	2816	656
Resources/Scene/scene4.txt	2816	656
